nohup: ignoring input
Sanity check …
  encoded  : torch.Size([2, 16, 64, 64])  mean=0.0000  var=1.0000
  logits   : torch.Size([2, 256])
  atk grad : 1.15e-05  ✓
  L_bit    : 0.6963  L_amp : 0.0000
  Acc      : 54.3%
Sanity check passed ✓

Device     : cuda
Parameters : 2,757,297
Warmup     : 1000 epochs (no attack)
Save dir   : ./weights/
============================================================================
    Ep    Loss  L_bit  L_amp    Acc%      α   atk
============================================================================
  2900  0.1298 0.0800 0.0122  97.00% 0.2500 0.133
  2905  0.1179 0.0867 0.0125  97.56% 0.2500 0.133 ★
  2980  0.1145 0.0789 0.0123  97.57% 0.2500 0.139 ★
  3000  0.1321 0.0822 0.0123  96.94% 0.2500 0.140
  3065  0.1132 0.0839 0.0124  97.67% 0.2500 0.144 ★
  3100  0.1368 0.0948 0.0120  96.58% 0.2500 0.147
  3132  0.1099 0.0800 0.0120  97.73% 0.2500 0.149 ★
  3141  0.1117 0.0844 0.0117  97.74% 0.2500 0.150 ★
  3158  0.1081 0.0779 0.0117  97.78% 0.2500 0.151 ★
  3200  0.1380 0.0907 0.0114  96.67% 0.2500 0.154
  3203  0.1044 0.0712 0.0118  97.91% 0.2500 0.154 ★
  3226  0.1026 0.0738 0.0120  98.01% 0.2500 0.156 ★
  3236  0.1003 0.0723 0.0119  98.08% 0.2500 0.156 ★
  3300  0.1179 0.0959 0.0116  97.28% 0.2500 0.161
  3372  0.0972 0.0663 0.0114  98.14% 0.2500 0.166 ★
  3400  0.1012 0.0696 0.0112  97.91% 0.2500 0.168
  3500  0.0956 0.0689 0.0113  98.13% 0.2500 0.175
  3527  0.0920 0.0681 0.0112  98.26% 0.2500 0.177 ★
  3580  0.0888 0.0623 0.0110  98.32% 0.2500 0.181 ★
  3600  0.0990 0.0833 0.0108  97.97% 0.2500 0.182
  3647  0.0878 0.0662 0.0107  98.41% 0.2500 0.185 ★
  3659  0.0858 0.0581 0.0109  98.42% 0.2500 0.186 ★
  3661  0.0849 0.0621 0.0108  98.42% 0.2500 0.186 ★
  3700  0.0967 0.0638 0.0108  98.10% 0.2500 0.189
  3726  0.0850 0.0595 0.0109  98.47% 0.2500 0.191 ★
  3765  0.0834 0.0627 0.0107  98.48% 0.2500 0.193 ★
  3800  0.0987 0.0891 0.0107  97.93% 0.2500 0.196
  3828  0.0815 0.0530 0.0104  98.51% 0.2500 0.198 ★
  3848  0.0805 0.0550 0.0105  98.52% 0.2500 0.199 ★
  3856  0.0781 0.0589 0.0107  98.59% 0.2500 0.200 ★
  3895  0.0789 0.0594 0.0108  98.60% 0.2500 0.203 ★
  3899  0.0779 0.0573 0.0108  98.63% 0.2500 0.203 ★
  3900  0.0933 0.0700 0.0108  98.05% 0.2500 0.203
  3950  0.0757 0.0524 0.0104  98.64% 0.2500 0.206 ★
  3964  0.0736 0.0528 0.0103  98.77% 0.2500 0.207 ★
  4000  0.0731 0.0513 0.0102  98.76% 0.2500 0.210
  4100  0.0784 0.0576 0.0100  98.58% 0.2500 0.217
  4101  0.0712 0.0488 0.0101  98.81% 0.2500 0.217 ★
  4166  0.0716 0.0472 0.0101  98.83% 0.2500 0.222 ★
  4200  0.0732 0.0604 0.0098  98.65% 0.2500 0.224
  4214  0.0662 0.0510 0.0098  98.98% 0.2500 0.225 ★
  4300  0.0788 0.0630 0.0098  98.49% 0.2500 0.231
  4372  0.0624 0.0374 0.0098  99.06% 0.2500 0.236 ★
  4400  0.0738 0.0457 0.0098  98.59% 0.2500 0.238
  4500  0.0623 0.0397 0.0096  98.97% 0.2500 0.245
  4551  0.0580 0.0424 0.0094  99.11% 0.2500 0.248 ★
  4600  0.0552 0.0381 0.0093  99.17% 0.2500 0.252 ★
  4639  0.0572 0.0441 0.0095  99.17% 0.2500 0.255 ★
  4687  0.0560 0.0406 0.0101  99.19% 0.2500 0.258 ★
  4700  0.0647 0.0426 0.0094  98.83% 0.2500 0.259
  4723  0.0543 0.0362 0.0095  99.21% 0.2500 0.261 ★
  4778  0.0534 0.0359 0.0093  99.23% 0.2500 0.264 ★
  4800  0.0651 0.0470 0.0092  98.86% 0.2500 0.266
  4900  0.0597 0.0530 0.0093  98.95% 0.2500 0.273
  4944  0.0510 0.0383 0.0094  99.24% 0.2500 0.276 ★
  4955  0.0505 0.0316 0.0094  99.30% 0.2500 0.277 ★
  5000  0.0650 0.0366 0.0094  98.83% 0.2500 0.280
  5057  0.0472 0.0311 0.0093  99.34% 0.2500 0.284 ★
  5100  0.0632 0.0382 0.0095  98.83% 0.2500 0.287
  5200  0.0617 0.0333 0.0092  98.88% 0.2500 0.294
  5246  0.0472 0.0380 0.0095  99.37% 0.2500 0.297 ★
  5283  0.0473 0.0314 0.0094  99.38% 0.2500 0.300 ★
  5300  0.0593 0.0513 0.0097  98.99% 0.2500 0.301
  5361  0.0436 0.0290 0.0091  99.43% 0.2500 0.305 ★
  5400  0.0542 0.0343 0.0094  99.13% 0.2500 0.308
  5422  0.0430 0.0298 0.0090  99.44% 0.2500 0.309 ★
  5426  0.0426 0.0271 0.0091  99.46% 0.2500 0.310 ★
  5500  0.0457 0.0317 0.0093  99.40% 0.2500 0.315
  5600  0.0432 0.0257 0.0095  99.41% 0.2500 0.322
  5700  0.0426 0.0271 0.0092  99.38% 0.2500 0.329
  5707  0.0410 0.0260 0.0093  99.49% 0.2500 0.329 ★
  5800  0.0549 0.0301 0.0090  98.98% 0.2500 0.336
  5883  0.0409 0.0306 0.0093  99.51% 0.2500 0.342 ★
  5900  0.0412 0.0241 0.0093  99.41% 0.2500 0.343
  5916  0.0377 0.0250 0.0089  99.52% 0.2500 0.344 ★
  5954  0.0380 0.0238 0.0090  99.57% 0.2500 0.347 ★
  6000  0.0446 0.0233 0.0091  99.29% 0.2500 0.350
  6090  0.0358 0.0237 0.0092  99.59% 0.2500 0.350 ★
  6100  0.0390 0.0278 0.0089  99.48% 0.2500 0.350
  6200  0.0401 0.0231 0.0089  99.44% 0.2500 0.350
  6300  0.0385 0.0247 0.0093  99.51% 0.2500 0.350
  6306  0.0343 0.0203 0.0091  99.62% 0.2500 0.350 ★
  6338  0.0333 0.0212 0.0088  99.62% 0.2500 0.350 ★
  6400  0.0374 0.0275 0.0092  99.44% 0.2500 0.350
  6500  0.0373 0.0224 0.0091  99.50% 0.2500 0.350
  6579  0.0324 0.0195 0.0088  99.64% 0.2500 0.350 ★
  6589  0.0312 0.0185 0.0089  99.66% 0.2500 0.350 ★
  6600  0.0342 0.0247 0.0087  99.55% 0.2500 0.350
  6700  0.0481 0.0322 0.0089  99.10% 0.2500 0.350
  6800  0.0316 0.0202 0.0092  99.64% 0.2500 0.350
  6822  0.0294 0.0191 0.0088  99.67% 0.2500 0.350 ★
  6900  0.0381 0.0334 0.0087  99.40% 0.2500 0.350
  6912  0.0287 0.0184 0.0088  99.68% 0.2500 0.350 ★
  6925  0.0297 0.0185 0.0088  99.68% 0.2500 0.350 ★
  6940  0.0286 0.0183 0.0087  99.70% 0.2500 0.350 ★
  7000  0.0290 0.0168 0.0086  99.67% 0.2500 0.350
  7017  0.0276 0.0196 0.0087  99.73% 0.2500 0.350 ★
  7100  0.0366 0.0305 0.0082  99.48% 0.2500 0.350
  7200  0.0430 0.0339 0.0085  99.24% 0.2500 0.350
  7248  0.0246 0.0153 0.0086  99.76% 0.2500 0.350 ★
  7300  0.0377 0.0273 0.0087  99.44% 0.2500 0.350
  7400  0.0377 0.0163 0.0084  99.38% 0.2500 0.350
  7500  0.0434 0.0154 0.0087  99.25% 0.2500 0.350
  7571  0.0246 0.0144 0.0083  99.78% 0.2500 0.350 ★
  7600  0.0329 0.0231 0.0081  99.51% 0.2500 0.350
  7700  0.0334 0.0184 0.0084  99.44% 0.2500 0.350
  7709  0.0234 0.0150 0.0083  99.80% 0.2500 0.350 ★
  7800  0.0293 0.0159 0.0079  99.56% 0.2500 0.350
  7900  0.0281 0.0178 0.0084  99.66% 0.2500 0.350
  8000  0.0291 0.0143 0.0078  99.61% 0.2500 0.350
  8073  0.0221 0.0145 0.0077  99.81% 0.2500 0.350 ★
  8100  0.0265 0.0171 0.0085  99.69% 0.2500 0.350
  8200  0.0272 0.0149 0.0078  99.61% 0.2500 0.350
  8300  0.0355 0.0138 0.0079  99.37% 0.2500 0.350
  8400  0.0283 0.0258 0.0083  99.58% 0.2500 0.350
  8500  0.0254 0.0146 0.0079  99.66% 0.2500 0.350
  8600  0.0309 0.0138 0.0081  99.49% 0.2500 0.350
  8700  0.0232 0.0128 0.0080  99.74% 0.2500 0.350
  8800  0.0254 0.0189 0.0082  99.72% 0.2500 0.350
  8900  0.0243 0.0193 0.0080  99.67% 0.2500 0.350
  9000  0.0267 0.0260 0.0078  99.62% 0.2500 0.350
  9100  0.0227 0.0157 0.0075  99.70% 0.2500 0.350
  9200  0.0253 0.0155 0.0077  99.62% 0.2500 0.350
  9300  0.0220 0.0112 0.0076  99.71% 0.2500 0.350
  9316  0.0198 0.0121 0.0075  99.81% 0.2500 0.350 ★
  9400  0.0240 0.0115 0.0079  99.69% 0.2500 0.350
  9500  0.0289 0.0339 0.0077  99.50% 0.2500 0.350
  9600  0.0243 0.0196 0.0079  99.67% 0.2500 0.350
  9700  0.0276 0.0244 0.0074  99.55% 0.2500 0.350
  9800  0.0200 0.0111 0.0074  99.75% 0.2500 0.350
  9900  0.0227 0.0130 0.0074  99.66% 0.2500 0.350
 10000  0.0268 0.0127 0.0074  99.55% 0.2500 0.350
 10100  0.0237 0.0123 0.0076  99.67% 0.2500 0.350
 10197  0.0184 0.0091 0.0074  99.82% 0.2500 0.350 ★
 10200  0.0294 0.0153 0.0074  99.46% 0.2500 0.350
 10300  0.0212 0.0138 0.0078  99.73% 0.2500 0.350
 10400  0.0313 0.0127 0.0077  99.40% 0.2500 0.350
 10500  0.0210 0.0153 0.0073  99.71% 0.2500 0.350
 10600  0.0188 0.0085 0.0079  99.81% 0.2500 0.350
 10700  0.0216 0.0101 0.0074  99.71% 0.2500 0.350
 10800  0.0291 0.0286 0.0072  99.51% 0.2500 0.350
 10900  0.0220 0.0149 0.0070  99.71% 0.2500 0.350
 10913  0.0171 0.0104 0.0069  99.84% 0.2500 0.350 ★
 11000  0.0244 0.0098 0.0071  99.59% 0.2500 0.350
 11100  0.0300 0.0267 0.0073  99.45% 0.2500 0.350
 11200  0.0217 0.0113 0.0068  99.67% 0.2500 0.350
 11300  0.0223 0.0170 0.0070  99.66% 0.2500 0.350
 11400  0.0275 0.0116 0.0071  99.46% 0.2500 0.350
 11500  0.0271 0.0180 0.0071  99.50% 0.2500 0.350
 11600  0.0187 0.0090 0.0078  99.76% 0.2500 0.350
 11700  0.0215 0.0105 0.0067  99.66% 0.2500 0.350
 11708  0.0163 0.0079 0.0065  99.84% 0.2500 0.350 ★
 11800  0.0221 0.0128 0.0074  99.65% 0.2500 0.350
 11900  0.0188 0.0086 0.0069  99.77% 0.2500 0.350
 12000  0.0200 0.0114 0.0072  99.76% 0.2500 0.350
 12100  0.0204 0.0169 0.0068  99.69% 0.2500 0.350
 12102  0.0159 0.0084 0.0066  99.86% 0.2500 0.350 ★
 12200  0.0215 0.0115 0.0073  99.64% 0.2500 0.350
 12300  0.0171 0.0116 0.0069  99.78% 0.2500 0.350
 12400  0.0203 0.0086 0.0070  99.69% 0.2500 0.350
 12468  0.0152 0.0092 0.0068  99.86% 0.2500 0.350 ★
 12500  0.0198 0.0107 0.0071  99.69% 0.2500 0.350
 12600  0.0299 0.0341 0.0068  99.34% 0.2500 0.350
 12700  0.0171 0.0106 0.0067  99.79% 0.2500 0.350
 12800  0.0183 0.0084 0.0066  99.74% 0.2500 0.350
 12900  0.0189 0.0097 0.0071  99.73% 0.2500 0.350
 13000  0.0190 0.0125 0.0074  99.75% 0.2500 0.350
 13100  0.0179 0.0116 0.0067  99.74% 0.2500 0.350
 13200  0.0165 0.0083 0.0065  99.77% 0.2500 0.350
 13300  0.0167 0.0087 0.0065  99.76% 0.2500 0.350
 13400  0.0306 0.0086 0.0065  99.32% 0.2500 0.350
 13500  0.0176 0.0104 0.0071  99.76% 0.2500 0.350
 13600  0.0205 0.0114 0.0069  99.65% 0.2500 0.350
 13700  0.0190 0.0109 0.0067  99.71% 0.2500 0.350
 13800  0.0263 0.0082 0.0069  99.48% 0.2500 0.350
 13900  0.0174 0.0115 0.0066  99.76% 0.2500 0.350
 14000  0.0214 0.0264 0.0065  99.61% 0.2500 0.350
 14100  0.0233 0.0096 0.0069  99.60% 0.2500 0.350
 14200  0.0197 0.0080 0.0061  99.66% 0.2500 0.350
 14300  0.0199 0.0123 0.0065  99.67% 0.2500 0.350
 14400  0.0179 0.0176 0.0065  99.76% 0.2500 0.350
 14500  0.0223 0.0252 0.0061  99.60% 0.2500 0.350
 14600  0.0168 0.0132 0.0066  99.75% 0.2500 0.350
 14700  0.0243 0.0308 0.0062  99.52% 0.2500 0.350
 14800  0.0149 0.0072 0.0060  99.79% 0.2500 0.350
 14900  0.0169 0.0117 0.0068  99.74% 0.2500 0.350
 15000  0.0199 0.0140 0.0063  99.68% 0.2500 0.350
 15100  0.0209 0.0099 0.0060  99.66% 0.2500 0.350
